country,Country Code,Region,Income Group,Lending category,Electric power consumption (kWh per capita),Forest area (sq. km),Rail lines (total route-km),Time required to start a business (days),"Patent applications, residents",Scientific and technical journal articles,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population density (people per sq. km of land area),Urban population
Panama,PAN,Latin America & Caribbean,High income,IBRD,2064.175797,46333.99902,,6,13,170.6,12.92161513,52.47935163,2589342
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD,1345.879589,741406.0156,,41.5,83,761,27.5826726,23.50809297,23221633
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD,696.3467801,78000,,34,334,1045,20.25958716,337.100104,46329521
Palau,PLW,East Asia & Pacific,High income,IBRD,,402.9999924,,28,,4.7,,38.3173913,13663
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend,,335618.0078,,53,,64.3,13.24529823,17.54787572,1032121
Poland,POL,Europe & Central Asia,High income,IBRD,3971.799761,94137.99805,18942,37,3941,31779.4,22.21089179,124.1442732,22960228
Puerto Rico,PRI,Latin America & Caribbean,High income,,,4926.400146,,6,,621.3,9.089227717,398.5201804,3310445
Dem. People's Rep. Korea,PRK,East Asia & Pacific,Low income,,601.6900479,51580,,,,20.8,35.2402154,208.1035794,15309785
Portugal,PRT,Europe & Central Asia,High income,,4662.6008,31933.99902,2545.96,6,722,14666,8.78479289,113.5417757,6546012
Paraguay,PRY,Latin America & Caribbean,Upper middle income,IBRD,1552.384217,156484.0039,,35,,67.7,12.6410755,16.61093884,3990997
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,,,91.70000076,,43.5,,,33.44828276,693.2554817,3134764
French Polynesia,PYF,East Asia & Pacific,High income,,,1550,,,,,,74.2363388,167460
Qatar,QAT,Middle East & North Africa,High income,,14781.64833,0,,8.7,5,1106.6,78.83284035,211.8172265,2431360
Romania,ROU,Europe & Central Asia,Upper middle income,IBRD,2584.411787,67917.99805,10770,8,952,10800.6,15.00649546,86.53068063,10730940
Russia,RUS,Europe & Central Asia,Upper middle income,IBRD,6602.657525,8149715,85266,11.5,24072,44994.7,16.58216295,8.781877489,106354643
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA,,4732.000122,,7,5,88.2,42.21148744,449.2758411,1880560
Saudi Arabia,SAU,Middle East & North Africa,High income,,9401.366769,9770,,24.8,652,8410.8,75.60844062,14.3820709,25648738
Sudan,SDN,Sub-Saharan Africa,Lower middle income,IDA,190.2208868,193843.4961,4313,36.5,,242.5,48.14174218,,12794292
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA,229.3517951,83130,,6,,332.9,36.82683776,73.62349244,6440431
Singapore,SGP,East Asia & Pacific,High income,,8844.687593,163.5000038,,2.5,1303,11145.3,17.40887705,7714.702232,5469724
